2016-12-17 22:23:41,725 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\sai\Documents\FinancialInvestmentCopy\FinancialInvestmentCopy\src\test\resources
2016-12-17 22:32:12,536 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-17 22:32:12,550 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\sai\Documents\FinancialInvestmentCopy\FinancialInvestmentCopy\src\main\resources
2016-12-17 22:32:12,552 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-17 22:32:12,567 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\sai\Documents\FinancialInvestmentCopy\FinancialInvestmentCopy\src\test\resources
2016-12-17 22:32:57,399 [Worker-1] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for FinancialInvestmentCopy
2016-12-17 22:32:58,580 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-17 22:32:58,604 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\sai\Documents\FinancialInvestmentCopy\FinancialInvestmentCopy\src\main\resources
2016-12-17 22:32:58,614 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-17 22:32:58,630 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\sai\Documents\FinancialInvestmentCopy\FinancialInvestmentCopy\src\test\resources
